iter	RMSE
0	0.3854392647
1	0.3630076756
2	0.3418851176
3	0.3226442747
4	0.3053370768
5	0.2896939242
6	0.2754280222
7	0.2621744579
8	0.2506695236
9	0.2402022436
10	0.2303742577
11	0.2213291593
12	0.2135030147
13	0.2060979039
14	0.1996611731
15	0.1933480119
16	0.1881360664
17	0.1833111258
18	0.1788004402
19	0.1749061905
20	0.171055948
21	0.1675065229
22	0.1642673775
23	0.161504542
24	0.15910452
25	0.1567727649
26	0.1547353205
27	0.1527056186
28	0.1508120733
29	0.149044982
30	0.1475060664
31	0.1460881403
32	0.1450237882
33	0.143805278
34	0.142717985
35	0.1414727424
36	0.1404911486
37	0.1395938926
38	0.1386675541
39	0.1376796334
40	0.1368659542
41	0.1359960468
42	0.1350025338
43	0.1343528874
44	0.1335417131
45	0.1328104898
46	0.1318172593
47	0.1313031504
48	0.1303906222
49	0.1297121385
50	0.1291488245
51	0.1285298755
52	0.1280571192
53	0.1272143327
54	0.1266663011
55	0.1260486204
56	0.1254452561
57	0.1247752402
58	0.1242296487
59	0.1236320786
60	0.1230846064
61	0.1226883502
62	0.1222237179
63	0.1216186209
64	0.1211059617
65	0.1204915072
66	0.1198781923
67	0.1194090032
68	0.1188753808
69	0.1184624958
70	0.1180095053
71	0.117357434
72	0.1167181032
73	0.1162989472
74	0.1158061555
75	0.1154811109
76	0.1150730983
77	0.1145736022
78	0.1140704019
79	0.1132647796
80	0.1128755028
81	0.1122597115
82	0.1118524204
83	0.1114190937
84	0.1107446074
85	0.1102589138
86	0.1097722415
87	0.1094384548
88	0.1090530165
89	0.1086607502
90	0.108438504
91	0.1080240752
92	0.1076316628
93	0.1071083431
94	0.1064140319
95	0.1059628556
96	0.1054852767
97	0.1050917169
98	0.1045574359
99	0.104254059
100	0.1037709409
101	0.1033742414
102	0.1028627503
103	0.102585564
104	0.102323966
105	0.1020461218
106	0.1017224225
107	0.1015568702
108	0.1011498942
109	0.1007185532
110	0.1003120431
111	0.09969766242
112	0.099434686
113	0.09894043212
114	0.09851563233
115	0.09819992022
116	0.09773529787
117	0.09741866145
118	0.09713269248
119	0.09668107184
120	0.09613686348
121	0.09551985319
122	0.09521583663
123	0.09498155697
124	0.09460316423
125	0.09429334256
126	0.09395722059
127	0.09361554243
128	0.093291331
129	0.09302601543
130	0.09267720179
131	0.09244180207
132	0.09233193347
133	0.09206303788
134	0.09187518845
135	0.09131273519
136	0.09090837074
137	0.0904892173
138	0.09028739377
139	0.0899561173
140	0.08974156784
141	0.08925389305
142	0.08884562511
143	0.08860792379
144	0.0882171293
145	0.0877243472
146	0.08723576529
147	0.08706413647
148	0.08671198556
149	0.08642610419
150	0.08595827871
151	0.08573011079
152	0.08542244846
153	0.085149129
154	0.08478417324
155	0.08462566658
156	0.08443242569
157	0.08425546257
158	0.08393933342
159	0.08357328582
160	0.0831317569
161	0.08279337685
162	0.08251896383
163	0.08230204174
164	0.08188980215
165	0.08151626889
166	0.08131293295
167	0.08095560238
168	0.08070637984
169	0.08042641502
170	0.08020997733
171	0.07998881564
172	0.07978619126
173	0.0793099449
174	0.07910169489
175	0.07886709411
176	0.07854688087
177	0.07822467688
178	0.07800804135
179	0.07765060128
180	0.07726961801
181	0.07693899358
182	0.07665866033
183	0.07637774552
184	0.07614721268
185	0.07586861932
186	0.07561231743
187	0.07529614785
188	0.07494873941
189	0.07478224186
190	0.07456876457
191	0.07435938585
192	0.07428716563
193	0.07402397683
194	0.07387027626
195	0.07375427132
196	0.0733507468
197	0.07308560912
198	0.07297337325
199	0.07275524077
200	0.07253645818
201	0.07231108563
202	0.07214505242
203	0.07178421299
204	0.07157798691
205	0.07138747666
206	0.07111740627
207	0.07087839392
208	0.07065257962
209	0.07045763535
210	0.07021614788
211	0.06997460854
212	0.06973312209
213	0.06952910686
214	0.06929907101
215	0.06919288231
